pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
5f93.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(6_K_)-[FUC(5_K_)-GAL(4_K_)]-NAG(3_K_)-GAL(2_K_)-GLC(1_K_),K FUC 6 C2 C1 NAG 3 O4 C4,K FUC 6 C1 NAG 3 O4 C4 C5,161.392,259.147,"(['FUC(6_K_)', 'NAG(3_K_)'], [93.84, 88.86])","(['6.K', '3.K'], ['-', '4C1'])"
6l6r.pdb,LFucpa1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_H_)-[FUC(2_H_)]-NAG(1_H_)-ASN(81_B_),H FUC 2 C2 C1 NAG 1 O4 C4,H FUC 2 C1 NAG 1 O4 C4 C5,156.87,230.677,"(['FUC(2_H_)', 'NAG(1_H_)'], [130.33, 129.91])","(['2.H', '1.H'], ['O3B', '4C1'])"
6l6r.pdb,LFucpa1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_F_)-[FUC(2_F_)]-NAG(1_F_)-ASN(81_A_),F FUC 2 C2 C1 NAG 1 O4 C4,F FUC 2 C1 NAG 1 O4 C4 C5,135.814,222.916,"(['FUC(2_F_)', 'NAG(1_F_)'], [148.2, 128.15])","(['2.F', '1.F'], ['-', '4C1'])"
7jhz.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-C6O6,FUC(6_F_)-[FUC(5_F_)-GAL(4_F_)]-NAG(3_F_)-GAL(2_F_)-BGC(1_F_),F FUC 6 C2 C1 NAG 3 O4 C4,F FUC 6 C1 NAG 3 O4 C4 C5,129.258,64.8463,"(['FUC(6_F_)', 'NAG(3_F_)'], [33.97, 34.06])","(['6.F', '3.F'], ['-', '4C1'])"
7jhz.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-ROH,FUC(5_E_)-[FUC(4_E_)-GAL(3_E_)]-NAG(2_E_)-GAL(1_E_),E FUC 5 C2 C1 NAG 2 O4 C4,E FUC 5 C1 NAG 2 O4 C4 C5,153.713,260.1922,"(['FUC(5_E_)', 'NAG(2_E_)'], [27.99, 32.02])","(['5.E', '2.E'], ['1C4', '4C1'])"
5f7n.pdb,LFucpa1-2[DGalpNAca1-3]DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(5_F_)-[A2G(4_F_)-[FUC(3_F_)]-GAL(2_F_)]-NAG(1_F_),F FUC 5 C2 C1 NAG 1 O4 C4,F FUC 5 C1 NAG 1 O4 C4 C5,161.861,256.83799999999997,"(['FUC(5_F_)', 'NAG(1_F_)'], [45.13, 50.37])","(['5.F', '1.F'], ['1C4', '4C1'])"
5f7n.pdb,LFucpa1-2[DGalpNAca1-3]DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(5_E_)-[A2G(4_E_)-[FUC(3_E_)]-GAL(2_E_)]-NAG(1_E_),E FUC 5 C2 C1 NAG 1 O4 C4,E FUC 5 C1 NAG 1 O4 C4 C5,163.837,260.5422,"(['FUC(5_E_)', 'NAG(1_E_)'], [49.39, 49.74])","(['5.E', '1.E'], ['1C4', '-'])"
5zvc.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_C_)-[GAL(2_C_)]-NAG(1_C_),C FUC 3 C2 C1 NAG 1 O4 C4,C FUC 3 C1 NAG 1 O4 C4 C5,162.704,261.277,"(['FUC(3_C_)', 'NAG(1_C_)'], [53.23, 41.52])","(['3.C', '1.C'], ['1C4', '4C1'])"
5zvc.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_D_)-[GAL(2_D_)]-NAG(1_D_),D FUC 3 C2 C1 NAG 1 O4 C4,D FUC 3 C1 NAG 1 O4 C4 C5,161.603,270.5523,"(['FUC(3_D_)', 'NAG(1_D_)'], [43.62, 37.33])","(['3.D', '1.D'], ['1C4', '4C1'])"
6xtg.pdb,DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(4_A_)-[SIA(3_A_)-GAL(2_A_)]-NAG(1_A_),A FUC 4 C2 C1 NAG 1 O4 C4,A FUC 4 C1 NAG 1 O4 C4 C5,163.041,263.1877,"(['FUC(4_A_)', 'NAG(1_A_)'], [44.09, 38.21])","(['4.A', '1.A'], ['1C4', '4C1'])"
