pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
5f9a.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(6_B_)-[FUC(5_B_)-GAL(4_B_)]-NAG(3_B_)-GAL(2_B_)-GLC(1_B_),B FUC 5 C2 C1 GAL 4 O2 C2,B FUC 5 C1 GAL 4 O2 C2 C3,167.614,269.2296,"(['FUC(5_B_)', 'GAL(4_B_)'], [47.71, 67.41])","(['5.B', '4.B'], ['1C4', '4C1'])"
3pa2.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_C_)-GAL(2_C_)-[FUC(4_C_)]-NAG(1_C_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,87.5082,219.579,"(['FUC(3_C_)', 'GAL(2_C_)'], [16.15, 20.92])","(['3.C', '2.C'], ['1C4', '4C1'])"
5f8r.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_E_)-[FUC(5_E_)-GAL(4_E_)]-NAG(3_E_)-GAL(2_E_)-BGC(1_E_),E FUC 5 C2 C1 GAL 4 O2 C2,E FUC 5 C1 GAL 4 O2 C2 C3,163.89,263.5295,"(['FUC(5_E_)', 'GAL(4_E_)'], [27.78, 32.08])","(['5.E', '4.E'], ['1C4', '4C1'])"
5f8r.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_F_)-[FUC(5_F_)-GAL(4_F_)]-NAG(3_F_)-GAL(2_F_)-BGC(1_F_),F FUC 5 C2 C1 GAL 4 O2 C2,F FUC 5 C1 GAL 4 O2 C2 C3,165.27,254.82,"(['FUC(5_F_)', 'GAL(4_F_)'], [31.07, 29.48])","(['5.F', '4.F'], ['1C4', '4C1'])"
3eyv.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAca1-ROH,FUC(3_C_)-GAL(2_C_)-[FUC(4_C_)]-NDG(1_C_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,162.53,252.614,"(['FUC(3_C_)', 'GAL(2_C_)'], [31.29, 28.63])","(['3.C', '2.C'], ['1C4', '4C1'])"
2wmg.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_B_)-GAL(2_B_)-[FUC(4_B_)]-NAG(1_B_),B FUC 3 C2 C1 GAL 2 O2 C2,B FUC 3 C1 GAL 2 O2 C2 C3,153.543,264.627,"(['FUC(3_B_)', 'GAL(2_B_)'], [26.66, 27.02])","(['3.B', '2.B'], ['1C4', '-'])"
3asq.pdb,LFucpa1-2DGalpb1-3DGlcpNAcb1-C6N1O3,FUC(3_C_)-GAL(2_C_)-NAG(1_C_)-NPO(1001_A_),C FUC 3 C2 C1 GAL 2 O2 C2,C FUC 3 C1 GAL 2 O2 C2 C3,157.825,250.661,"(['FUC(3_C_)', 'GAL(2_C_)'], [13.52, 12.92])","(['3.C', '2.C'], ['1C4', '4C1'])"
3asq.pdb,LFucpa1-2DGalpb1-3DGlcpNAcb1-C6N1O3,FUC(3_D_)-GAL(2_D_)-NAG(1_D_)-NPO(1001_B_),D FUC 3 C2 C1 GAL 2 O2 C2,D FUC 3 C1 GAL 2 O2 C2 C3,158.373,252.253,"(['FUC(3_D_)', 'GAL(2_D_)'], [15.56, 14.93])","(['3.D', '2.D'], ['1C4', '4C1'])"
5elb.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAca1-ROH,FUC(3_O_)-GAL(2_O_)-[FUC(4_O_)]-NDG(1_O_),O FUC 3 C2 C1 GAL 2 O2 C2,O FUC 3 C1 GAL 2 O2 C2 C3,158.493,266.94280000000003,"(['FUC(3_O_)', 'GAL(2_O_)'], [41.79, 40.87])","(['3.O', '2.O'], ['1C4', '4C1'])"
5elb.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAca1-ROH,FUC(3_R_)-GAL(2_R_)-[FUC(4_R_)]-NDG(1_R_),R FUC 3 C2 C1 GAL 2 O2 C2,R FUC 3 C1 GAL 2 O2 C2 C3,157.282,260.253,"(['FUC(3_R_)', 'GAL(2_R_)'], [33.95, 29.42])","(['3.R', '2.R'], ['1C4', '4C1'])"
