pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
4ma1.pdb,DGalpa1-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcx1-,MAN(8_G_)-[GLA(7_G_)-GAL(6_G_)-NAG(5_G_)-MAN(4_G_)]-BMA(3_G_)-NAG(2_G_),G GLA 7 C2 C1 GAL 6 O3 C3,G GLA 7 C1 GAL 6 O3 C3 C4,209.298,90.5415,"(['GLA(7_G_)', 'GAL(6_G_)'], [91.71, 100.08])","(['7.G', '6.G'], ['4C1', '-'])"
7p8h.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-3DGlcpNAcb1-ROH,GLA(4_E_)-[FUC(3_E_)]-GAL(2_E_)-NAG(1_E_),E GLA 4 C2 C1 GAL 2 O3 C3,E GLA 4 C1 GAL 2 O3 C3 C4,180.239,67.4567,"(['GLA(4_E_)', 'GAL(2_E_)'], [17.64, 12.15])","(['4.E', '2.E'], ['4C1', '4C1'])"
7p8h.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-3DGlcpNAcb1-ROH,GLA(4_F_)-[FUC(3_F_)]-GAL(2_F_)-NAG(1_F_),F GLA 4 C2 C1 GAL 2 O3 C3,F GLA 4 C1 GAL 2 O3 C3 C4,180.959,66.6008,"(['GLA(4_F_)', 'GAL(2_F_)'], [15.25, 10.28])","(['4.F', '2.F'], ['4C1', '4C1'])"
5d63.pdb,LFucpa1-2[DGalpa1-3]DGalpb1-ROH,GLA(3_B_)-[FUC(2_B_)]-GAL(1_B_),B GLA 3 C2 C1 GAL 1 O3 C3,B GLA 3 C1 GAL 1 O3 C3 C4,176.811,58.2065,"(['GLA(3_B_)', 'GAL(1_B_)'], [8.77, 9.25])","(['3.B', '1.B'], ['4C1', '4C1'])"
4cov.pdb,DGalpa1-3DGalpb1-ROH,GLA(2_B_)-GAL(1_B_),B GLA 2 C2 C1 GAL 1 O3 C3,B GLA 2 C1 GAL 1 O3 C3 C4,106.03,66.503,"(['GLA(2_B_)', 'GAL(1_B_)'], [16.68, 35.16])","(['2.B', '1.B'], ['1S3', '-'])"
2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_h_)-GAL(2_h_)-BGC(1_h_),h GLA 3 C2 C1 GAL 2 O3 C3,h GLA 3 C1 GAL 2 O3 C3 C4,219.811,130.675,"(['GLA(3_h_)', 'GAL(2_h_)'], [12.96, 22.9])","(['3.h', '2.h'], ['4C1', '4C1'])"
2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_g_)-GAL(2_g_)-BGC(1_g_),g GLA 3 C2 C1 GAL 2 O3 C3,g GLA 3 C1 GAL 2 O3 C3 C4,221.391,111.481,"(['GLA(3_g_)', 'GAL(2_g_)'], [11.39, 18.37])","(['3.g', '2.g'], ['4C1', '4C1'])"
2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(2_l_)-GAL(1_l_)-BGC(204_N_),l GLA 2 C2 C1 GAL 1 O3 C3,l GLA 2 C1 GAL 1 O3 C3 C4,219.84,128.347,"(['GLA(2_l_)', 'GAL(1_l_)'], [17.34, 24.57])","(['2.l', '1.l'], ['4C1', '4C1'])"
2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_j_)-GAL(2_j_)-BGC(1_j_),j GLA 3 C2 C1 GAL 2 O3 C3,j GLA 3 C1 GAL 2 O3 C3 C4,217.631,124.702,"(['GLA(3_j_)', 'GAL(2_j_)'], [16.07, 26.23])","(['3.j', '2.j'], ['4C1', '4C1'])"
2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_Z_)-GAL(2_Z_)-BGC(1_Z_),Z GLA 3 C2 C1 GAL 2 O3 C3,Z GLA 3 C1 GAL 2 O3 C3 C4,216.58,126.795,"(['GLA(3_Z_)', 'GAL(2_Z_)'], [18.39, 25.51])","(['3.Z', '2.Z'], ['4C1', '4C1'])"
2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_t_)-GAL(2_t_)-BGC(1_t_),t GLA 3 C2 C1 GAL 2 O3 C3,t GLA 3 C1 GAL 2 O3 C3 C4,218.629,128.289,"(['GLA(3_t_)', 'GAL(2_t_)'], [16.42, 23.6])","(['3.t', '2.t'], ['4C1', '4C1'])"
2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpa1-ROH,GLA(3_c_)-GAL(2_c_)-GLC(1_c_),c GLA 3 C2 C1 GAL 2 O3 C3,c GLA 3 C1 GAL 2 O3 C3 C4,226.439,112.591,"(['GLA(3_c_)', 'GAL(2_c_)'], [15.12, 18.1])","(['3.c', '2.c'], ['4C1', '4C1'])"
2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_k_)-GAL(2_k_)-BGC(1_k_),k GLA 3 C2 C1 GAL 2 O3 C3,k GLA 3 C1 GAL 2 O3 C3 C4,223.44,122.02,"(['GLA(3_k_)', 'GAL(2_k_)'], [14.73, 15.08])","(['3.k', '2.k'], ['4C1', '4C1'])"
2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_e_)-GAL(2_e_)-BGC(1_e_),e GLA 3 C2 C1 GAL 2 O3 C3,e GLA 3 C1 GAL 2 O3 C3 C4,219.064,109.936,"(['GLA(3_e_)', 'GAL(2_e_)'], [14.84, 25.12])","(['3.e', '2.e'], ['4C1', '4C1'])"
2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_v_)-GAL(2_v_)-BGC(1_v_),v GLA 3 C2 C1 GAL 2 O3 C3,v GLA 3 C1 GAL 2 O3 C3 C4,222.802,124.045,"(['GLA(3_v_)', 'GAL(2_v_)'], [13.71, 23.39])","(['3.v', '2.v'], ['4C1', '4C1'])"
2vxj.pdb,DGalpa1-3DGalpb1-4DGlcpb1-ROH,GLA(3_p_)-GAL(2_p_)-BGC(1_p_),p GLA 3 C2 C1 GAL 2 O3 C3,p GLA 3 C1 GAL 2 O3 C3 C4,220.191,123.077,"(['GLA(3_p_)', 'GAL(2_p_)'], [17.72, 22.04])","(['3.p', '2.p'], ['4C1', '4C1'])"
