pdb,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
4pqk.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,210.948,230.443,"(['GLC(2_E_)', 'GLC(1_E_)'], [33.74, 44.37])","(['2.E', '1.E'], ['4C1', '4C1'])"
4pqk.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,209.738,224.475,"(['GLC(2_F_)', 'GLC(1_F_)'], [49.6, 54.56])","(['2.F', '1.F'], ['4C1', '4C1'])"
4pqk.pdb,H GLC 2 C2 C1 GLC 1 O4 C4,H GLC 2 C1 GLC 1 O4 C4 C5,213.786,230.671,"(['GLC(2_H_)', 'GLC(1_H_)'], [55.38, 61.66])","(['2.H', '1.H'], ['4C1', '4C1'])"
7xmn.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,227.453,221.51,"(['GLC(2_C_)', 'GLC(1_C_)'], [34.54, 35.77])","(['2.C', '1.C'], ['4C1', '4C1'])"
8g3w.pdb,R GLC 2 C2 C1 GLC 1 O4 C4,R GLC 2 C1 GLC 1 O4 C4 C5,221.412,222.843,"(['GLC(2_R_)', 'GLC(1_R_)'], [24.94, 27.13])","(['2.R', '1.R'], ['4C1', '4C1'])"
1wo2.pdb,C GLC 3 C2 C1 GLC 2 O4 C4,C GLC 3 C1 GLC 2 O4 C4 C5,245.38,257.688,"(['GLC(3_C_)', 'GLC(2_C_)'], [26.7, 23.59])","(['3.C', '2.C'], ['4C1', '4C1'])"
1wo2.pdb,B GLC 3 C2 C1 GLC 2 O4 C4,B GLC 3 C1 GLC 2 O4 C4 C5,244.63,251.481,"(['GLC(3_B_)', 'GLC(2_B_)'], [30.15, 24.34])","(['3.B', '2.B'], ['4C1', '4C1'])"
6smv.pdb,B GLC 4 C2 C1 GLC 3 O4 C4,B GLC 4 C1 GLC 3 O4 C4 C5,179.437,215.423,"(['GLC(4_B_)', 'GLC(3_B_)'], [97.23, 79.55])","(['4.B', '3.B'], ['4C1', '-'])"
6smv.pdb,B GLC 3 C2 C1 GLC 2 O4 C4,B GLC 3 C1 GLC 2 O4 C4 C5,224.147,234.743,"(['GLC(3_B_)', 'GLC(2_B_)'], [79.55, 58.9])","(['3.B', '2.B'], ['-', '4C1'])"
6smv.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,218.452,219.905,"(['GLC(2_B_)', 'GLC(1_B_)'], [58.9, 57.16])","(['2.B', '1.B'], ['4C1', '4C1'])"
1j0i.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,243.457,238.531,"(['GLC(2_C_)', 'GLC(1_C_)'], [39.07, 41.49])","(['2.C', '1.C'], ['4C1', '4C1'])"
1j0i.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,244.232,239.65300000000002,"(['GLC(2_D_)', 'GLC(1_D_)'], [44.75, 46.18])","(['2.D', '1.D'], ['4C1', '4C1'])"
5clt.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,157.674,132.152,"(['GLC(2_D_)', 'GLC(1_D_)'], [30.9, 53.32])","(['2.D', '1.D'], ['4C1', '-'])"
5clt.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,158.695,126.233,"(['GLC(2_E_)', 'GLC(1_E_)'], [53.88, 74.06])","(['2.E', '1.E'], ['4C1', '-'])"
5clt.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,146.051,147.723,"(['GLC(2_F_)', 'GLC(1_F_)'], [66.81, 87.77])","(['2.F', '1.F'], ['4C1', '-'])"
5lrb.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,202.964,237.877,"(['GLC(2_D_)', 'GLC(1_D_)'], [152.52, 158.4])","(['2.D', '1.D'], ['4C1', '4C1'])"
5lrb.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,239.67000000000002,248.743,"(['GLC(2_C_)', 'GLC(1_C_)'], [163.4, 167.72])","(['2.C', '1.C'], ['4C1', '4C1'])"
6siv.pdb,C GLC 5 C2 C1 GLC 4 O4 C4,C GLC 5 C1 GLC 4 O4 C4 C5,176.73,209.559,"(['GLC(5_C_)', 'GLC(4_C_)'], [44.74, 27.99])","(['5.C', '4.C'], ['4C1', '4C1'])"
6siv.pdb,C GLC 4 C2 C1 GLC 3 O4 C4,C GLC 4 C1 GLC 3 O4 C4 C5,197.507,215.092,"(['GLC(4_C_)', 'GLC(3_C_)'], [27.99, 16.62])","(['4.C', '3.C'], ['4C1', '4C1'])"
6siv.pdb,C GLC 3 C2 C1 GLC 2 O4 C4,C GLC 3 C1 GLC 2 O4 C4 C5,219.916,237.99,"(['GLC(3_C_)', 'GLC(2_C_)'], [16.62, 13.44])","(['3.C', '2.C'], ['4C1', '4C1'])"
6siv.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,218.524,223.974,"(['GLC(2_C_)', 'GLC(1_C_)'], [13.44, 14.11])","(['2.C', '1.C'], ['4C1', '4C1'])"
4xai.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,227.219,223.488,"(['GLC(2_C_)', 'GLC(1_C_)'], [60.2, 68.21])","(['2.C', '1.C'], ['4C1', '4C1'])"
4xai.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,223.943,218.77,"(['GLC(2_D_)', 'GLC(1_D_)'], [58.8, 65.29])","(['2.D', '1.D'], ['4C1', '4C1'])"
6qz7.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,219.959,224.395,"(['GLC(2_B_)', 'GLC(1_B_)'], [26.89, 28.85])","(['2.B', '1.B'], ['4C1', '4C1'])"
1mvy.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,237.703,247.24,"(['GLC(2_C_)', 'GLC(1_C_)'], [25.79, 28.93])","(['2.C', '1.C'], ['4C1', '4C1'])"
1mvy.pdb,B GLC 4 C2 C1 GLC 3 O4 C4,B GLC 4 C1 GLC 3 O4 C4 C5,195.559,211.925,"(['GLC(4_B_)', 'GLC(3_B_)'], [30.79, 21.18])","(['4.B', '3.B'], ['4C1', '4C1'])"
1mvy.pdb,B GLC 3 C2 C1 GLC 2 O4 C4,B GLC 3 C1 GLC 2 O4 C4 C5,204.803,207.639,"(['GLC(3_B_)', 'GLC(2_B_)'], [21.18, 16.02])","(['3.B', '2.B'], ['4C1', '4C1'])"
1mvy.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,222.93,222.833,"(['GLC(2_B_)', 'GLC(1_B_)'], [16.02, 24.39])","(['2.B', '1.B'], ['4C1', '4C1'])"
6sqc.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,232.405,220.788,"(['GLC(2_C_)', 'GLC(1_C_)'], [32.62, 28.15])","(['2.C', '1.C'], ['4C1', '4C1'])"
6d1u.pdb,H GLC 2 C2 C1 GLC 1 O4 C4,H GLC 2 C1 GLC 1 O4 C4 C5,217.255,228.212,"(['GLC(2_H_)', 'GLC(1_H_)'], [47.97, 53.28])","(['2.H', '1.H'], ['4C1', '4C1'])"
6d1u.pdb,G GLC 2 C2 C1 GLC 1 O4 C4,G GLC 2 C1 GLC 1 O4 C4 C5,224.193,217.283,"(['GLC(2_G_)', 'GLC(1_G_)'], [39.41, 46.61])","(['2.G', '1.G'], ['4C1', '-'])"
6d1u.pdb,I GLC 2 C2 C1 GLC 1 O4 C4,I GLC 2 C1 GLC 1 O4 C4 C5,221.896,224.702,"(['GLC(2_I_)', 'GLC(1_I_)'], [53.38, 55.09])","(['2.I', '1.I'], ['4C1', '4C1'])"
2d0g.pdb,B GLC 5 C2 C1 GLC 4 O4 C4,B GLC 5 C1 GLC 4 O4 C4 C5,261.7142,257.284,"(['GLC(5_B_)', 'GLC(4_B_)'], [23.92, 17.75])","(['5.B', '4.B'], ['4C1', '4C1'])"
2d0g.pdb,B GLC 4 C2 C1 GLC 3 O4 C4,B GLC 4 C1 GLC 3 O4 C4 C5,242.156,250.828,"(['GLC(4_B_)', 'GLC(3_B_)'], [17.75, 15.19])","(['4.B', '3.B'], ['4C1', '4C1'])"
2d0g.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,228.849,237.797,"(['GLC(2_B_)', 'GLC(1_B_)'], [18.4, 26.99])","(['2.B', '1.B'], ['4C1', '4C1'])"
3vgh.pdb,B GLC 1 C2 C1 GLC 2 O4 C4,B GLC 1 C1 GLC 2 O4 C4 C5,198.954,206.351,"(['GLC(1_B_)', 'GLC(2_B_)'], [47.76, 40.4])","(['1.B', '2.B'], ['4C1', '4C1'])"
3vgh.pdb,B GLC 2 C2 C1 GLC 3 O4 C4,B GLC 2 C1 GLC 3 O4 C4 C5,200.086,208.582,"(['GLC(2_B_)', 'GLC(3_B_)'], [40.4, 36.86])","(['2.B', '3.B'], ['4C1', '-'])"
3vgh.pdb,B GLC 3 C2 C1 GLC 4 O4 C4,B GLC 3 C1 GLC 4 O4 C4 C5,141.64,223.438,"(['GLC(3_B_)', 'GLC(4_B_)'], [36.86, 36.25])","(['3.B', '4.B'], ['-', '4C1'])"
