pdb,phi site,psi site,phi,psi
1l6i.pdb,D GLC 5 C2 C1 GLC 4 O4 C4,D GLC 5 C1 GLC 4 O4 C4 C5,197.487,191.505
1l6i.pdb,D GLC 4 C2 C1 GLC 3 O4 C4,D GLC 4 C1 GLC 3 O4 C4 C5,227.365,232.393
1l6i.pdb,D GLC 3 C2 C1 GLC 2 O4 C4,D GLC 3 C1 GLC 2 O4 C4 C5,205.173,213.818
1l6i.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,217.118,200.763
4fe9.pdb,C GLC 4 C2 C1 GLC 3 O4 C4,C GLC 4 C1 GLC 3 O4 C4 C5,219.045,232.702
4fe9.pdb,C GLC 3 C2 C1 GLC 2 O4 C4,C GLC 3 C1 GLC 2 O4 C4 C5,226.795,237.037
4fe9.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,232.482,234.083
6ybl.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,222.601,222.388
1qhp.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,232.863,256.799
1qhp.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,229.605,235.421
1qhp.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,227.907,235.09
3kll.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,188.752,199.374
3kll.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,222.53,247.477
3kll.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,211.267,218.087
3kll.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,222.085,241.584
5b3w.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,227.824,220.629
5b3w.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,229.144,219.486
1b9z.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,239.39499999999998,251.747
2zq0.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,213.935,234.524
2zq0.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,214.638,236.175
1ez9.pdb,C GLC 4 C2 C1 GLC 3 O4 C4,C GLC 4 C1 GLC 3 O4 C4 C5,232.873,233.70499999999998
1ez9.pdb,C GLC 3 C2 C1 GLC 2 O4 C4,C GLC 3 C1 GLC 2 O4 C4 C5,217.345,221.28
1ez9.pdb,D GLC 4 C2 C1 GLC 3 O4 C4,D GLC 4 C1 GLC 3 O4 C4 C5,235.268,229.926
1ez9.pdb,D GLC 3 C2 C1 GLC 2 O4 C4,D GLC 3 C1 GLC 2 O4 C4 C5,220.245,219.809
2asv.pdb,C GLC 5 C2 C1 GLC 4 O4 C4,C GLC 5 C1 GLC 4 O4 C4 C5,220.863,236.966
2asv.pdb,C GLC 4 C2 C1 GLC 3 O4 C4,C GLC 4 C1 GLC 3 O4 C4 C5,204.21,213.188
2asv.pdb,C GLC 3 C2 C1 GLC 2 O4 C4,C GLC 3 C1 GLC 2 O4 C4 C5,216.953,208.864
2asv.pdb,D GLC 5 C2 C1 GLC 4 O4 C4,D GLC 5 C1 GLC 4 O4 C4 C5,217.21,237.465
2asv.pdb,D GLC 4 C2 C1 GLC 3 O4 C4,D GLC 4 C1 GLC 3 O4 C4 C5,206.212,216.231
2asv.pdb,D GLC 3 C2 C1 GLC 2 O4 C4,D GLC 3 C1 GLC 2 O4 C4 C5,217.829,204.984
4edq.pdb,D GLC 3 C2 C1 GLC 2 O4 C4,D GLC 3 C1 GLC 2 O4 C4 C5,229.896,236.13299999999998
4edq.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,224.195,217.857
4edq.pdb,C GLC 3 C2 C1 GLC 2 O4 C4,C GLC 3 C1 GLC 2 O4 C4 C5,232.402,243.84
4edq.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,223.181,222.812
4j3u.pdb,C GLC 9 C2 C1 GLC 8 O4 C4,C GLC 9 C1 GLC 8 O4 C4 C5,216.038,224.644
4j3u.pdb,D GLC 9 C2 C1 GLC 8 O4 C4,D GLC 9 C1 GLC 8 O4 C4 C5,211.887,223.062
2gh9.pdb,B GLC 3 C2 C1 GLC 2 O4 C4,B GLC 3 C1 GLC 2 O4 C4 C5,222.141,234.763
2gh9.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,231.27,238.801
6toz.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,230.579,216.74
6toz.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,226.866,237.772
4xp4.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,252.304,260.8887
4mbp.pdb,B GLC 4 C2 C1 GLC 3 O4 C4,B GLC 4 C1 GLC 3 O4 C4 C5,196.013,216.647
4mbp.pdb,B GLC 3 C2 C1 GLC 2 O4 C4,B GLC 3 C1 GLC 2 O4 C4 C5,223.289,236.912
4xr8.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,227.543,220.29
4xr8.pdb,G GLC 2 C2 C1 GLC 1 O4 C4,G GLC 2 C1 GLC 1 O4 C4 C5,226.058,227.719
3jzj.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,225.35,226.326
1cgx.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,231.625,235.9
1cgx.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,203.5,244.733
1cgx.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,220.217,238.296
3pgf.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,219.504,225.019
6tzc.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,84.2514,216.313
2z1k.pdb,J GLC 3 C2 C1 GLC 2 O4 C4,J GLC 3 C1 GLC 2 O4 C4 C5,199.663,211.644
2z1k.pdb,J GLC 2 C2 C1 GLC 1 O4 C4,J GLC 2 C1 GLC 1 O4 C4 C5,239.622,245.997
2z1k.pdb,F GLC 3 C2 C1 GLC 2 O4 C4,F GLC 3 C1 GLC 2 O4 C4 C5,194.157,213.481
2z1k.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,239.90699999999998,250.598
2z1k.pdb,H GLC 3 C2 C1 GLC 2 O4 C4,H GLC 3 C1 GLC 2 O4 C4 C5,198.566,214.277
2z1k.pdb,H GLC 2 C2 C1 GLC 1 O4 C4,H GLC 2 C1 GLC 1 O4 C4 C5,237.673,248.16899999999998
2z1k.pdb,L GLC 3 C2 C1 GLC 2 O4 C4,L GLC 3 C1 GLC 2 O4 C4 C5,199.827,213.146
2z1k.pdb,L GLC 2 C2 C1 GLC 1 O4 C4,L GLC 2 C1 GLC 1 O4 C4 C5,240.387,246.315
5hzw.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,227.095,219.103
6m47.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,59.7364,239.79000000000002
6m47.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,215.824,236.19299999999998
3pzo.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,232.485,258.01
3pzo.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,216.632,243.773
7ehh.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,233.897,248.57
3k1l.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,228.814,232.567
3k1l.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,215.934,217.697
6gne.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,233.804,242.981
6gne.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,246.01,225.482
6gne.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,238.75900000000001,238.736
3bmw.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,215.958,264.8657
