pdb,phi site,psi site,phi,psi
8f4f.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,229.123,267.7912
8f4f.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,193.894,181.988
8f4f.pdb,C DGD 515 C2E C1E O5D C6D,C DGD 515 C1E O5D C6D C5D,213.069,116.57
8f4f.pdb,c DGD 515 C2E C1E O5D C6D,c DGD 515 C1E O5D C6D C5D,210.769,123.102
8f4f.pdb,A DGD 616 C2E C1E O5D C6D,A DGD 616 C1E O5D C6D C5D,208.553,204.35
8f4f.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,192.529,211.074
8f4f.pdb,J DGD 101 C2E C1E O5D C6D,J DGD 101 C1E O5D C6D C5D,193.695,209.327
8f4f.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,203.088,170.819
8f4f.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,227.921,275.9368
5oy0.pdb,L DGD 5004 C2E C1E O5D C6,L DGD 5004 C1E O5D C6D C5,293.7377,180.106
5gti.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,224.399,272.4293
5gti.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,224.867,128.101
5gti.pdb,h DGD 103 C2E C1E O5D C6D,h DGD 103 C1E O5D C6D C5D,187.589,167.309
5gti.pdb,C DGD 519 C2E C1E O5D C6D,C DGD 519 C1E O5D C6D C5D,192.104,203.507
5gti.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,227.146,273.9715
5gti.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,195.33,168.718
5gti.pdb,c DGD 518 C2E C1E O5D C6D,c DGD 518 C1E O5D C6D C5D,204.667,199.992
5gti.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,227.811,125.368
7yq2.pdb,c DGD 918 C2E C1E O5D C6D,c DGD 918 C1E O5D C6D C5D,219.468,278.7701
7yq2.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,220.687,282.392
7yq2.pdb,c DGD 919 C2E C1E O5D C6D,c DGD 919 C1E O5D C6D C5D,194.048,204.448
7yq2.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,201.262,203.486
7yq2.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,214.72,122.598
7yq2.pdb,c DGD 917 C2E C1E O5D C6D,c DGD 917 C1E O5D C6D C5D,215.413,122.746
7yq2.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,193.186,164.939
7yq2.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,192.602,161.519
4tnh.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,205.362,200.745
4tnh.pdb,C DGD 515 C2E C1E O5D C6D,C DGD 515 C1E O5D C6D C5D,240.666,257.854
4tnh.pdb,B DGD 625 C2E C1E O5D C6D,B DGD 625 C1E O5D C6D C5D,266.1266,224.586
4tnh.pdb,D DGD 409 C2E C1E O5D C6D,D DGD 409 C1E O5D C6D C5D,231.206,192.887
4tnh.pdb,b DGD 624 C2E C1E O5D C6D,b DGD 624 C1E O5D C6D C5D,242.615,167.941
4tnh.pdb,a DGD 411 C2E C1E O5D C6D,a DGD 411 C1E O5D C6D C5D,217.797,128.597
4tnh.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,218.513,117.963
4tnh.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,219.035,116.79
